replication,Flat table K0,AI typed lift Ktheta,AI plus source/availability audit Ktheta+E,Post-index source certificate Kpost,Prospective reference KP
4516,0.1829009118954542,0.4046635774280176,0.29752533106512685,0.1829009118954542,0.2445589109136477
4517,0.16320573408947703,0.3565827441207876,0.2317540200626212,0.16320573408947703,0.24084267007281648
4518,0.09999910182395756,0.30846788332673614,0.2179375630055572,0.09999910182395756,0.20943589743589744
4519,0.13840318513975575,0.343180750922386,0.23155513156526042,0.13840318513975575,0.18878904731214252
4520,0.13816986794717884,0.34857581503272383,0.24781189417108995,0.13816986794717884,0.19870394420394422
4521,0.1597829591318365,0.38720458232759297,0.29484324639151294,0.1597829591318365,0.278750812276236
4522,0.13271663145765322,0.3459552928521388,0.24947732278897117,0.13271663145765322,0.18595218737901664
4523,0.13447435897435903,0.3036767325718297,0.16440474719494136,0.13447435897435903,0.21978338942314105
4524,0.14757242897158868,0.35695800914790465,0.2517711603526319,0.14757242897158868,0.24779865820681624
4525,0.13948248470791816,0.33726592731940375,0.2195668852229712,0.13948248470791816,0.3163018630670804
4526,0.144630899355288,0.3620109829204756,0.2657601671303753,0.144630899355288,0.29292956158064076
4527,0.1580198163170612,0.3669273596884767,0.2568150867428311,0.1580198163170612,0.3317441347841348
4528,0.16747187520020493,0.39014079465477924,0.2883378389091486,0.16747187520020493,0.26867887716161865
4529,0.12969423558897247,0.33228996600999733,0.22919146084204975,0.12969423558897247,0.3118493230625584
4530,0.13303190059368555,0.34467652972148655,0.246289258255602,0.13303190059368555,0.22613366837504764
4531,0.12184553821528614,0.3314296932409454,0.2351683100513186,0.12184553821528614,0.23955838345864666
4532,0.15335509472606246,0.35407839952559417,0.2364466095990635,0.15335509472606246,0.3307634599787884
4533,0.1598421014692986,0.3626754551239551,0.24766670730931306,0.1598421014692986,0.26404418896222176
4534,0.1603357243928152,0.3642147547721182,0.2447580607586059,0.1603357243928152,0.30738450088212116
4535,0.13112983703252534,0.3322532508972892,0.22024682772952764,0.13112983703252534,0.19662998569839502
4536,0.162998266828376,0.40067888802422275,0.3153612423916935,0.162998266828376,0.24261096960944295
4537,0.12144139413941403,0.31297995594707834,0.19807712361532862,0.12144139413941403,0.09259579989619517
4538,0.15358292463216897,0.356343544722887,0.23952124018143603,0.15358292463216897,0.3677240355979849
4539,0.10280469953775045,0.2900549796335262,0.17150056019155158,0.10280469953775045,0.21464369458267246
4540,0.1499329731892758,0.35912987249332584,0.2533937986081002,0.1499329731892758,0.1483530356007629
