replication,scenario,method,true,estimate,bias,se,ciLow,ciHigh,covered
22,main,Post index leakage estimator,0.6578202221769878,0.20471494100249538,-0.4531052811744924,0.10065066427873101,0.007439639016182609,0.40199024298880814,0
22,main,Oracle prospective estimator,0.6578202221769878,0.601091190688922,-0.05672903148806574,0.1057492061963852,0.39382274654400706,0.808359634833837,1
23,main,Structured EHR estimator,0.6381721399093224,1.4197299368438783,0.7815577969345558,0.13946656096309307,1.1463754773562158,1.6930843963315407,0
23,main,Naive AI estimator,0.6381721399093224,0.16231353008389449,-0.47585860982542794,0.09773659062492324,-0.02925018754095504,0.353877247708744,0
23,main,ISE causal estimator,0.6381721399093224,0.769800618633837,0.13162847872451455,0.1130160831222351,0.5482890957142562,0.9913121415534177,1
23,main,Design erasure estimator,0.6381721399093224,1.2809290313760402,0.6427568914667178,0.12528737028584622,1.0353657856157816,1.5264922771362988,0
23,main,Post index leakage estimator,0.6381721399093224,0.1433784179471508,-0.49479372196217164,0.0999408404777827,-0.05250562938930328,0.33926246528360493,0
23,main,Oracle prospective estimator,0.6381721399093224,0.7486062833845164,0.11043414347519398,0.11308847656571208,0.5269528693157207,0.9702596974533121,1
24,main,Structured EHR estimator,0.6494026764912292,1.5786754468446058,0.9292727703533766,0.13152022001007882,1.3208958156248514,1.8364550780643603,0
24,main,Naive AI estimator,0.6494026764912292,0.3744396658263415,-0.2749630106648877,0.08809391647749693,0.2017755895304475,0.5471037421222354,0
24,main,ISE causal estimator,0.6494026764912292,0.8119189786916033,0.16251630220037416,0.09967138308925569,0.6165630678366623,1.0072748895465444,1
24,main,Design erasure estimator,0.6494026764912292,1.187613618263197,0.5382109417719677,0.1226722426680949,0.9471760226337309,1.4280512138926629,0
24,main,Post index leakage estimator,0.6494026764912292,0.4312823878961799,-0.21812028859504928,0.09294497730748467,0.24911023237350993,0.6134545434188499,0
24,main,Oracle prospective estimator,0.6494026764912292,0.80334747478189,0.15394479829066077,0.09910940185638745,0.6090930471433705,0.9976019024204094,1
25,main,Structured EHR estimator,0.6561786027715363,1.4088572197431528,0.7526786169716165,0.1349570223914096,1.1443414558559901,1.6733729836303155,0
25,main,Naive AI estimator,0.6561786027715363,0.25188929391461296,-0.4042893088569233,0.08896586438434123,0.07751619972130414,0.4262623881079218,0
25,main,ISE causal estimator,0.6561786027715363,0.7279131984302037,0.07173459565866747,0.10621018126693263,0.5197412431470159,0.9360851537133916,1
25,main,Design erasure estimator,0.6561786027715363,1.0569394931484841,0.40076089037694784,0.1256865456062297,0.8105938637602739,1.3032851225366944,0
25,main,Post index leakage estimator,0.6561786027715363,0.26611968764663396,-0.3900589151249023,0.09425421256119561,0.08138143102669057,0.4508579442665773,0
25,main,Oracle prospective estimator,0.6561786027715363,0.7339339400937712,0.07775533732223494,0.1051572955693185,0.527825640777907,0.9400422394096355,1
26,main,Structured EHR estimator,0.6281115831510975,1.4211491945220718,0.7930376113709743,0.1401357799879777,1.1464830657456355,1.695815323298508,0
26,main,Naive AI estimator,0.6281115831510975,0.15759809474477549,-0.470513488406322,0.0890228092216894,-0.016886611329735735,0.3320828008192867,0
26,main,ISE causal estimator,0.6281115831510975,0.6242030103916033,-0.003908572759494189,0.10873672156565824,0.4110790361229132,0.8373269846602934,1
26,main,Design erasure estimator,0.6281115831510975,1.0637809117997616,0.43566932864866414,0.12422656908079675,0.8202968364014,1.3072649871981232,0
26,main,Post index leakage estimator,0.6281115831510975,0.269879301743373,-0.3582322814077245,0.0959417533821314,0.08183346511439546,0.4579251383723505,0
26,main,Oracle prospective estimator,0.6281115831510975,0.642284972516175,0.014173389365077504,0.10731988351044837,0.4319380008356962,0.8526319441966538,1
27,main,Structured EHR estimator,0.6468025756672853,1.2056761590522787,0.5588735833849934,0.13865637057825217,0.9339096727189045,1.4774426453856528,0
27,main,Naive AI estimator,0.6468025756672853,0.006050345361197441,-0.6407522303060879,0.09321803200043713,-0.1766569973596593,0.1887576880820542,0
27,main,ISE causal estimator,0.6468025756672853,0.4243399219597736,-0.22246265370751167,0.11071548616322331,0.20733756907985593,0.6413422748396913,0
27,main,Design erasure estimator,0.6468025756672853,0.8660698248759497,0.21926724920866447,0.12638875034183486,0.6183478742059534,1.113791775545946,1
27,main,Post index leakage estimator,0.6468025756672853,0.04782519619620177,-0.5989773794710835,0.09909333135624454,-0.14639773326203753,0.24204812565444106,0
27,main,Oracle prospective estimator,0.6468025756672853,0.4341726426017615,-0.21262993306552375,0.10862305519555482,0.2212714544184741,0.647073830785049,1
28,main,Structured EHR estimator,0.6488890947701899,1.4289424777167719,0.780053382946582,0.14375096128528142,1.1471905935976203,1.7106943618359234,0
28,main,Naive AI estimator,0.6488890947701899,0.03590747075192249,-0.6129816240182674,0.09340373647664012,-0.14716385274229213,0.21897879424613712,0
28,main,ISE causal estimator,0.6488890947701899,0.6916884943782635,0.04279939960807366,0.11477000327798875,0.4667392879534056,0.9166377008031215,1
28,main,Design erasure estimator,0.6488890947701899,1.038997357636973,0.39010826286678324,0.13249696523734517,0.7793033057717766,1.2986914095021695,0
